Label, Easting, Northing, Ellip Height
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0089_6.tif, 2613378.642630, 1128104.954290,   686.5936
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0090_6.tif, 2613377.123791, 1128101.142028,   686.6247
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0091_6.tif, 2613374.586514, 1128094.200111,   686.6445
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0092_6.tif, 2613373.243474, 1128090.364963,   686.6492
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0093_6.tif, 2613371.795086, 1128086.122137,   686.6540
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0094_6.tif, 2613369.506515, 1128079.345671,   686.6476
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0095_6.tif, 2613368.355471, 1128075.933821,   686.6453
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0096_6.tif, 2613365.613526, 1128067.877552,   686.6594
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0097_6.tif, 2613364.079435, 1128063.375837,   686.6574
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0098_6.tif, 2613363.802880, 1128062.564303,   686.6571
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0099_6.tif, 2613361.592896, 1128056.076486,   686.6450
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0100_6.tif, 2613359.290425, 1128049.340798,   686.6447
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0101_6.tif, 2613358.870173, 1128048.112865,   686.6455
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0102_6.tif, 2613356.475510, 1128041.171372,   686.6441
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0103_6.tif, 2613355.210052, 1128037.502193,   686.6445
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0104_6.tif, 2613353.161126, 1128031.540411,   686.6499
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0105_6.tif, 2613351.761410, 1128027.458974,   686.6482
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0106_6.tif, 2613350.641266, 1128024.192740,   686.6468
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0107_6.tif, 2613348.611242, 1128018.262384,   686.6504
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0108_6.tif, 2613347.140081, 1128013.918675,   686.6273
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0109_6.tif, 2613345.015299, 1128007.611837,   686.5609
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0110_6.tif, 2613343.461512, 1128003.137845,   686.4832
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0111_6.tif, 2613341.850734, 1127998.527776,   686.3897
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0112_6.tif, 2613340.648223, 1127995.040522,   686.3137
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0113_6.tif, 2613338.302423, 1127988.210705,   686.1594
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0114_6.tif, 2613336.840583, 1127983.936156,   686.0591
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0115_6.tif, 2613335.625116, 1127980.404687,   685.9792
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0116_6.tif, 2613333.638293, 1127974.603215,   685.8512
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0117_6.tif, 2613332.514978, 1127971.294955,   685.7813
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0118_6.tif, 2613330.509678, 1127965.412200,   685.6346
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0119_6.tif, 2613328.891354, 1127960.689440,   685.5092
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0120_6.tif, 2613327.544230, 1127956.802475,   685.4108
M:\working_package_2\2024_dronecampaign\01_data\Micasense\Pfynwald\20240823\SYNC0022SET\000\IMG_0121_6.tif, 2613325.294313, 1127950.276893,   685.2492
